alpha, r1, r2, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
0.1, 99, 112, 0.983333333333, 120, 2, 99, 21, 0.904761904762, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 101, 19, 0.947368421053, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 89, 31, 0.903225806452, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 89, 31, 1.0, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 100, 20, 0.85, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 72, 48, 0.9375, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 105, 15, 0.933333333333, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 87, 33, 0.969696969697, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 82, 38, 0.894736842105, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 97, 23, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 89, 31, 0.935483870968, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 87, 33, 0.939393939394, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 85, 35, 1.0, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 92, 28, 1.0, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 87, 33, 1.0, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 102, 18, 0.833333333333, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 95, 25, 0.92, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 94, 26, 0.884615384615, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 98, 22, 0.909090909091, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 98, 22, 1.0, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 93, 27, 0.888888888889, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 91, 29, 0.965517241379, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 103, 17, 0.882352941176, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 99, 21, 0.904761904762, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 89, 31, 0.967741935484, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 92, 28, 0.964285714286, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 93, 27, 0.925925925926, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 94, 26, 1.0, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 94, 26, 0.961538461538, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 88, 32, 0.90625, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 100, 20, 0.95, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 99, 21, 0.904761904762, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 91, 29, 0.931034482759, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 100, 20, 0.85, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 103, 17, 0.941176470588, 0, 0.0
0.1, 99, 112, 0.958333333333, 120, 5, 79, 41, 0.878048780488, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 95, 25, 0.96, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 91, 29, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 93, 27, 0.925925925926, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 105, 15, 0.866666666667, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 104, 16, 0.9375, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 90, 30, 0.866666666667, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 79, 41, 0.90243902439, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 89, 31, 0.967741935484, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 97, 23, 0.913043478261, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 112, 0.958333333333, 120, 5, 84, 36, 0.861111111111, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 84, 36, 0.888888888889, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 90, 30, 0.966666666667, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 97, 23, 0.95652173913, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 85, 35, 0.971428571429, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 84, 36, 0.916666666667, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 101, 19, 0.789473684211, 0, 0.0
0.1, 99, 112, 0.958333333333, 120, 5, 88, 32, 0.84375, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 88, 32, 1.0, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 98, 22, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 95, 25, 0.92, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 82, 38, 0.947368421053, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 91, 29, 0.931034482759, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 101, 19, 0.789473684211, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 95, 25, 1.0, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 105, 15, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 85, 35, 0.942857142857, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 102, 18, 0.944444444444, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 99, 21, 1.0, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 94, 26, 0.884615384615, 0, 0.0
0.1, 99, 112, 0.958333333333, 120, 5, 90, 30, 0.833333333333, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 103, 17, 1.0, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 111, 9, 1.0, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 92, 28, 0.857142857143, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 89, 31, 0.935483870968, 0, 0.0
